subject,I would be happy to use the creativity support tool on a regular basis,I enjoyed using the creativity support tool,I was satisfied with what I got out of the creativity support tool,What I was able to produce was worth the effort I had to exert to produce it,It was easy for me to explore many different ideas using the creativity support tool,The creativity support tool was helpful in allowing me to track different ideas or possibilities,The system or tool allowed other people to work with me easily,It was really easy to share ideas and designs with other people inside this system or tool,I was able to be very creative while doing the activity inside the creativity support tool,The creativity support tool allowed me to be very expressive,My attention was fully tuned to the activity and I forgot about the tool that I was using,I became so absorbed in the activity that I forgot about the creativity support tool that I was using,Learning to operate this creativity support tool would be easy for me,My interaction with this creativity support tool would be clear and understandable,I would find this creativity support tool would be clear and understandable,It would be easy for me to become skillful at using this creativity support tool,I would find this creativity support tool easy to use
020eff32-3928-4752-9a99-6abaca3d3eb4,7,9,9,8,8,10,7,7,9,10,10,10,5,5,5,6,5
1aee5054-9d2b-402a-a604-9a882af0f746,8,9,7,5,6,6,4,6,7,6,6,5,4,4,5,4,5
1f42f253-53cf-4689-b358-0d77ec3e52e1,7,8,7,4,4,6,6,6,8,4,7,5,5,6,6,6,5
2533073c-3884-496a-ad36-0b666c56ec70,6,8,7,7,9,8,2,2,9,8,6,5,5,6,6,5,5
30d1451d-9fc4-43a8-951b-4a74827a0d80,8,8,8,8,9,9,9,6,9,8,9,7,4,5,4,5,5
311ceaa0-430f-430f-a624-a61d593aade3,9,9,8,8,7,8,5,6,7,8,8,4,6,6,6,6,6
36172d4c-f584-43c7-b091-9db6bb3d1fc7,6,7,10,8,3,5,5,5,8,8,9,6,6,5,5,7,6
446142bb-1981-4fd2-923c-591661b9554a,9,9,9,8,8,9,9,10,9,10,10,10,6,7,5,7,6
4b5bba67-a4d3-45c8-be25-6f799888f0bb,9,9,3,7,9,10,4,2,3,8,8,6,3,5,5,4,4
50a17d2a-39c2-4a1f-814a-7d91d1dcead7,2,5,2,2,2,5,2,1,3,3,2,2,2,2,2,2,2
67641bf3-e099-43c1-8545-b7ba4cd9f119,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2
8115c828-2877-431a-a4a1-f5a000f1457e,2,7,5,6,3,6,4,5,5,6,4,4,3,4,4,4,4
d71d756d-36af-448c-b93b-7d165f15ac34,8,10,4,4,7,8,7,4,7,10,5,5,4,5,4,6,4
d811e8a8-f6ef-48b4-9432-54c8c279f2a1,8,7,6,8,3,7,7,7,5,7,5,6,5,5,3,5,4
d98d19d8-c424-41a8-80bc-8521c931183a,5,6,5,6,2,2,5,5,2,3,6,4,3,3,4,3,3
e1378f17-38db-434f-bc00-615a49b01df6,7,8,8,8,10,8,5,5,8,9,9,8,7,7,7,6,7
ee744bdd-fabc-4e20-b692-75e0ee17d578,6,9,7,3,9,8,7,3,5,3,9,8,5,6,4,5,6
fcb2286b-7aa0-4de0-b9bc-9c1a736a415f,9,10,10,5,5,6,5,5,5,7,2,3,5,5,5,6,5
ff99ecc9-5209-4df4-af83-d4472652415d,2,1,4,4,3,3,1,1,5,4,8,8,1,1,1,2,2
