subject,initials,age,gender,country,area of focus,experience with music
020eff32-3928-4752-9a99-6abaca3d3eb4,613ad29e3c7f45f2cd85f514,26,Female,Mexico,Social,1
1aee5054-9d2b-402a-a604-9a882af0f746,610825202c5162c24b44d5f9,23,Male,South Africa,Mathematics,4
1f42f253-53cf-4689-b358-0d77ec3e52e1,5d24cb1417b7100019b5d319,22,male,Poland,Warsaw,4
2533073c-3884-496a-ad36-0b666c56ec70,60f02ee3aa95133f26be35a1,19,Woman,Poland,IT,4
30d1451d-9fc4-43a8-951b-4a74827a0d80,5eef2245f9461b073e20f386,56,Female,Uk,Wales,3
311ceaa0-430f-430f-a624-a61d593aade3,60e47054c4135013a3a7b7c7,26,Female,South Africa,Marketing,5
36172d4c-f584-43c7-b091-9db6bb3d1fc7,6131e8440a4cc21f5f839e08,23,FEMALE,SOUTH AFRICA,MEDICINE,1
446142bb-1981-4fd2-923c-591661b9554a,5eb9856147beca089a4c2381,21,male,Poland,studying,5
4b5bba67-a4d3-45c8-be25-6f799888f0bb,5e27511207956e0735cdddf3,48,woman,Poland,music listener,2
50a17d2a-39c2-4a1f-814a-7d91d1dcead7,607dc10ae5bc5c8b32b18e9a,24,male,Portugal,Software Engineering,4
67641bf3-e099-43c1-8545-b7ba4cd9f119,5ef5e32540846d251c812c20,18,Masculine,Spain,Computer engeniering,5
8115c828-2877-431a-a4a1-f5a000f1457e,6042022872e2ec23172fdec4,22,Male,Portugal,Engineering,2
d71d756d-36af-448c-b93b-7d165f15ac34,5f11f5facf2f5e0fe203bd7b,19,Male,Poland,IT,4
d811e8a8-f6ef-48b4-9432-54c8c279f2a1,613aa8f8ec61d5c59ccde742,25,Female,Mexico,Piano,2
d98d19d8-c424-41a8-80bc-8521c931183a,60ac11e7255b2418ce07b899,38,Female,South Africa,Engineering,1
e1378f17-38db-434f-bc00-615a49b01df6,5cfa22603bb7c4000162328e,33,Male,Portugal,IT,4
ee744bdd-fabc-4e20-b692-75e0ee17d578,6139d2f69ce3e80109a6a3c3,20,Male,Spain,Social Science,1
fcb2286b-7aa0-4de0-b9bc-9c1a736a415f,613789190e10970db0b4399f,20,Male,South Africa,Digital sales,5
ff99ecc9-5209-4df4-af83-d4472652415d,609d1db6e6624a23a8f99f0d,22,female,South Africa,gauteng,4
