subject,composition,scoreId,fluency,flexibility,originality
ee744bdd-fabc-4e20-b692-75e0ee17d578,aa7ecfb0-f852-44dc-8e69-1ad58c5ca123,29837367-7b91-454c-8401-a8ef4cd0d73a,256,853,63.3125
1126c6bd-755d-4d46-b799-98b549305648,ac29db7c-3852-4abe-ba5e-d422eb692549,750a09a4-3224-4091-b0b9-f5ba155b5f4e,792,157.375,100.875
1126c6bd-755d-4d46-b799-98b549305648,c74d9e79-09e3-4786-9edc-3993f1da614d,7b55d301-9432-4177-8df7-270a8d8b4158,792,157.375,100.875
1126c6bd-755d-4d46-b799-98b549305648,60b83a61-7017-4c38-a174-08dc8647b6ee,31aad7a6-1774-42a5-a975-392c41b673ea,792,157.375,100.875
ee744bdd-fabc-4e20-b692-75e0ee17d578,2851b0ae-393e-448f-82c4-7cf434cb21df,0ebbd66a-1b0e-4345-a240-a6f29c00bfd7,589,577.2,88.3125
1aee5054-9d2b-402a-a604-9a882af0f746,1dccbae8-5e56-44b5-aab3-d814374abb15,fd02682e-7804-46aa-a6dc-015d8eaba5cd,950,1436.8125,133.125
1aee5054-9d2b-402a-a604-9a882af0f746,8a79074f-af76-4c13-aad0-1550b6b57fbd,8c436d5f-e550-4ebd-8e5c-24d025bd4158,130,719.5,62.25
d811e8a8-f6ef-48b4-9432-54c8c279f2a1,2a1695d3-cdec-4fc6-bca6-44c9ef2593ee,835db4c0-7693-4a99-a582-d5383d1cffbe,256,1069.5,66.1875
fcb2286b-7aa0-4de0-b9bc-9c1a736a415f,3904d8c7-fbe9-4a40-82be-c040f62bbfec,18d383a1-8486-4559-9ba8-d04c192087c5,58,777.2,48.1875
020eff32-3928-4752-9a99-6abaca3d3eb4,6be4e0b7-0a2d-4e85-917e-aec8292dd86f,a26603bb-4f48-4689-8cbf-2971be583c13,328,975.4375,68.875
d71d756d-36af-448c-b93b-7d165f15ac34,3c38fc41-a9cf-41a6-b4a4-0a8df1f07c17,3e1621f4-6e6e-4653-8aa0-44361be873af,938,479.5625,118.75
50a17d2a-39c2-4a1f-814a-7d91d1dcead7,eb0da90c-42f3-40fd-989e-0239a286a954,c5a76f7d-a695-4bbb-8fde-70e989b90125,110,1106,50.25
2533073c-3884-496a-ad36-0b666c56ec70,2d25e905-7e04-4558-8f77-0a1bd50767c4,267f130b-849c-4f61-9dc4-56f85d7821f2,256,504.5,53.8125
fcb2286b-7aa0-4de0-b9bc-9c1a736a415f,fe2c06e1-b40a-4d86-b90b-27313932cdfe,696a8526-9bc0-4b8f-9719-78e748ce6a9b,128,574,48.6875
d71d756d-36af-448c-b93b-7d165f15ac34,41c83e7e-ced6-4d03-b911-adfae662b1d0,4238969a-a262-4b62-8846-55446df63973,256,1235.5,72
8115c828-2877-431a-a4a1-f5a000f1457e,eec6827d-3f28-49d3-aa1e-3e6c3f0f9bd6,59b46c09-409d-4546-8ba7-6c51a4ca8ec0,636,756.875,104.3125
2533073c-3884-496a-ad36-0b666c56ec70,b56c298a-212d-4211-8b73-c12bf060524a,fa5cd9a7-83f7-4962-85e1-76bbbb1b41a5,384,179,73.0625
4b5bba67-a4d3-45c8-be25-6f799888f0bb,323fbb1a-ffeb-49fa-b756-324972c19bf2,643fdc1b-8ebe-4525-a3f2-47f17084c29e,980,663.1111111111111,125.375
8115c828-2877-431a-a4a1-f5a000f1457e,cd522bf1-d371-4e32-b98a-aacd74777c16,1c8ac473-0922-42a8-ae8f-9716fbb3c071,502,330.5625,99.6875
d98d19d8-c424-41a8-80bc-8521c931183a,983a4aa2-2458-4cfd-8b0a-b2bdea2d030e,ce06c47b-0b18-4510-b88a-c2c8249417e0,9,266.6666666666667,48.5625
e1378f17-38db-434f-bc00-615a49b01df6,61d25326-184a-4029-a1e7-845c91b49f34,318b5460-f5a0-487b-a1e4-cfdb1f4a01aa,802,451.375,122.9375
d71d756d-36af-448c-b93b-7d165f15ac34,2a309c8c-d17e-4f11-b63e-81b9f6829226,ded2ff86-e9b5-4523-8af4-8968c5f01d6e,1204,864.125,174.5625
