subject,I would be happy to use the creativity support tool on a regular basis,I enjoyed using the creativity support tool,I was satisfied with what I got out of the creativity support tool,What I was able to produce was worth the effort I had to exert to produce it,It was easy for me to explore many different ideas using the creativity support tool,The creativity support tool was helpful in allowing me to track different ideas or possibilities,The system or tool allowed other people to work with me easily,It was really easy to share ideas and designs with other people inside this system or tool,I was able to be very creative while doing the activity inside the creativity support tool,The creativity support tool allowed me to be very expressive,My attention was fully tuned to the activity and I forgot about the tool that I was using,I became so absorbed in the activity that I forgot about the creativity support tool that I was using,Learning to operate this creativity support tool would be easy for me,My interaction with this creativity support tool would be clear and understandable,I would find this creativity support tool would be clear and understandable,It would be easy for me to become skillful at using this creativity support tool,I would find this creativity support tool easy to use
0c554d1c-9c84-4463-870b-3310d0fcbda9,7,5,6,3,3,5,6,6,6,6,3,3,2,2,2,3,2
2537c55f-d4b7-4d37-82bb-e91486d591e1,2,3,5,2,1,1,3,6,2,1,3,5,2,2,2,2,3
26a1572b-3437-4498-b299-4e99bb479738,6,5,7,8,8,8,8,8,5,9,7,4,6,4,6,7,6
28901eff-3c84-4e29-aa90-e859f5a3fe5c,5,7,6,5,5,7,8,5,6,6,8,7,6,5,7,5,6
2b9e8baf-d8c9-4c4d-9a2c-e2c4b7baccf8,8,9,5,8,4,7,7,6,6,7,6,7,5,5,6,5,5
45668a4a-6149-4fd5-9155-b1687bdc71b3,6,8,7,9,7,9,8,6,6,7,4,4,4,4,5,5,4
6e1aa7ab-b074-4c63-a839-75f6886177bc,6,7,1,6,8,7,7,7,7,7,4,5,6,5,6,6,6
7b188dca-9124-407a-9afe-d952357e5ed9,8,10,7,8,8,9,10,8,10,10,10,3,7,7,6,7,7
8ac42258-999b-4b0d-914b-cb1fcedd1edc,2,8,7,7,6,4,2,7,7,4,6,8,2,3,2,4,4
8dead86f-bfa8-41f5-bc5a-b8ce4a057cb7,5,8,8,6,7,6,2,5,5,4,7,5,6,5,6,4,5
95b31bdd-4dff-4807-bc45-09640ad8f617,10,10,8,8,6,8,2,1,6,8,7,4,7,6,6,6,7
969467a6-dbdd-4feb-9e2b-a7dabb35379d,6,7,6,6,6,5,5,6,6,7,4,6,5,5,4,4,4
c10f1fbf-98f7-41ae-8ad6-6da9bbd4fed8,6,7,6,8,6,8,6,7,5,7,6,8,5,4,5,6,5
c185a6a2-398c-4967-a905-d2452cbd262b,3,6,3,3,5,5,3,4,4,4,4,3,3,3,2,3,3
d11e541e-4193-4276-9926-59d77624ba28,4,5,4,6,6,7,4,4,7,6,1,3,3,4,4,4,4
d6afd340-e3a5-4921-b9c9-a2ff4939b8a9,8,7,7,8,7,7,6,7,7,8,10,8,5,6,6,6,6
dbd640ed-51cb-4581-a112-73083ae6d7ab,1,1,1,1,1,1,1,1,4,2,5,4,1,2,3,3,4
e5be9373-e390-4b69-a259-c46435191dbf,2,9,8,8,2,2,8,3,9,2,8,2,1,6,2,2,2
e7cf7a17-c133-4b67-ac59-e265e47b3a63,3,8,7,7,5,7,5,6,7,7,7,7,4,3,5,5,5
f9d35556-f5e0-47dc-93a8-0e42dde85388,4,8,3,7,2,7,9,7,7,7,10,8,2,4,5,6,2
