subject,initials,age,gender,country,area of focus,experience with music
0c554d1c-9c84-4463-870b-3310d0fcbda9,62e1568b7eb07decf04f1528,25,Male,UK,Law,3
2537c55f-d4b7-4d37-82bb-e91486d591e1,5e2da1bd8844873931bf6908,29,male,italy,Cinema,1
26a1572b-3437-4498-b299-4e99bb479738,60c03680dc5dfe4723659602,20,Male,Mexico,Engineer,3
28901eff-3c84-4e29-aa90-e859f5a3fe5c,60009df3783c4917784386e5,20,Male,Portugal,Technology,3
2b9e8baf-d8c9-4c4d-9a2c-e2c4b7baccf8,5fd5da64b5c34144c81e516e,35,male,Greece,Athens,4
45668a4a-6149-4fd5-9155-b1687bdc71b3,610737a2c079729804c1a1e7,19,Female,Portugal,Communication,2
6e1aa7ab-b074-4c63-a839-75f6886177bc,5d1f5c20aaa27b001954de31,25,male,greece ,"xanthi, greece ",1
7b188dca-9124-407a-9afe-d952357e5ed9,5f9aba6600cdf11f1c9b915c,25,male,Poland,IT,3
8ac42258-999b-4b0d-914b-cb1fcedd1edc,5f64c18a0d65c4021a1c3370,19,male,portugal,TI,1
8dead86f-bfa8-41f5-bc5a-b8ce4a057cb7,603fb04d42dd7c0a9398a42f,23,male,chile,engineering,1
95b31bdd-4dff-4807-bc45-09640ad8f617,6053c980f7612d61ed799ce9,22,Male,Mexico,Engineering,3
969467a6-dbdd-4feb-9e2b-a7dabb35379d,5c754b537c5650001716216f,21,Male,Poland,IT,2
c10f1fbf-98f7-41ae-8ad6-6da9bbd4fed8,615e83303bf461137c0fc627,26,Femenino,Mexico,Guitar,4
c185a6a2-398c-4967-a905-d2452cbd262b,5d542c3a5af5900019bc80c4,48,female,United Kingdom,science,3
d11e541e-4193-4276-9926-59d77624ba28,5f23b9c67f5fe518618c87ff,41,woman,Poland,finance,2
d6afd340-e3a5-4921-b9c9-a2ff4939b8a9,5e8249e7cee0da961f8f08f5,24,female,Poland,medicine,3
dbd640ed-51cb-4581-a112-73083ae6d7ab,5f9232f19678c615b10d984e,23,female,Belgium,Data Science,1
e5be9373-e390-4b69-a259-c46435191dbf,opo,26,m,ger,cs,2
e7cf7a17-c133-4b67-ac59-e265e47b3a63,613ab8bcfa9917779a39f0cf,21,Female,Mexico,Health,4
f9d35556-f5e0-47dc-93a8-0e42dde85388,test1234,22,female,south africa,gauteng,5
