subject,I would be happy to use the creativity support tool on a regular basis,I enjoyed using the creativity support tool,I was satisfied with what I got out of the creativity support tool,What I was able to produce was worth the effort I had to exert to produce it,It was easy for me to explore many different ideas using the creativity support tool,The creativity support tool was helpful in allowing me to track different ideas or possibilities,The system or tool allowed other people to work with me easily,It was really easy to share ideas and designs with other people inside this system or tool,I was able to be very creative while doing the activity inside the creativity support tool,The creativity support tool allowed me to be very expressive,My attention was fully tuned to the activity and I forgot about the tool that I was using,I became so absorbed in the activity that I forgot about the creativity support tool that I was using,Learning to operate this creativity support tool would be easy for me,My interaction with this creativity support tool would be clear and understandable,I would find this creativity support tool would be clear and understandable,It would be easy for me to become skillful at using this creativity support tool,I would find this creativity support tool easy to use
00b0d250-5ca1-48bf-9e29-85eddefaa909,8,9,8,8,9,9,7,8,9,8,5,3,7,7,7,6,7
043d8e0b-d5eb-4d89-957b-a176f5297385,7,9,6,8,7,9,9,6,7,9,6,7,7,5,6,6,6
13b6898e-08d8-4258-9436-603109d8df69,7,7,4,4,7,6,4,5,4,4,10,6,5,5,5,5,5
1710e118-5ebf-4e14-9681-4669d5b598a5,1,3,5,4,5,4,3,3,5,3,6,5,4,3,3,5,5
23dc4752-24fe-47f5-bfaf-ac8d19f97c21,6,10,5,4,4,5,6,3,4,5,9,8,3,3,4,4,3
3463853e-20d6-48b9-8225-827c891cd26d,1,3,2,2,8,6,5,7,5,4,8,3,6,6,7,5,6
4d8a8741-8cab-4ce2-9a76-71db93991b86,2,6,4,6,4,2,2,1,9,6,5,5,2,2,2,4,2
52c9d31e-bcce-4e5a-81fc-664ca4fee4e9,7,9,8,9,6,8,4,4,9,8,7,7,5,6,6,5,5
58976396-1a9b-4250-9959-d5e6e1b0f859,6,9,8,7,7,7,6,6,5,6,6,6,4,4,5,5,5
62b945e2-ca20-450c-bc21-c6a1b17e4d59,1,1,2,4,1,1,1,1,1,2,5,1,1,4,2,1,1
773b1250-f797-47da-be9e-00972a5fdbb2,2,3,3,3,2,2,3,3,2,2,4,4,4,2,2,3,3
9bb94064-b3dd-4098-959d-7fc63f4b3853,9,8,7,8,6,7,7,10,7,8,5,5,5,5,5,6,5
b68b1745-f1d3-48b9-96f0-59dd4a20a2db,10,10,10,10,9,7,7,8,9,10,10,9,7,7,6,7,6
d14c3590-0427-4aaa-920f-6f2e1d10b8c9,9,10,9,7,8,9,4,5,7,8,8,6,5,6,7,6,6
e0b27637-b597-4b63-b874-6652a0d071cb,2,3,3,1,1,5,4,5,5,2,2,4,2,2,2,2,2
ee8a41aa-fe2f-4581-94f6-431610b96d70,4,5,4,2,2,5,4,2,4,5,3,2,5,3,5,3,3
f0977cbb-5af6-458c-960a-b6337756386b,5,6,8,4,9,8,7,8,9,9,10,8,7,7,6,4,6
fa89f4d0-4c74-4285-86b4-530ee3cd71fb,4,7,6,6,3,3,3,3,6,6,6,3,2,3,3,3,2
ff85e6df-2de3-4595-b001-a80df9c1c14f,5,4,6,6,3,4,8,8,6,9,7,7,6,6,7,7,7
