subject,initials,age,gender,country,area of focus,experience with music
00b0d250-5ca1-48bf-9e29-85eddefaa909,5f761e5106b786071f45b4aa,25,Male,Poland,IT,4
043d8e0b-d5eb-4d89-957b-a176f5297385,5ff4a242cbe069bc27d9278b,45,Male,Italy,?,3
13b6898e-08d8-4258-9436-603109d8df69,60a68725b2b424dc0d7ce793,21,Male,Portugal,Software Engenier,3
1710e118-5ebf-4e14-9681-4669d5b598a5,5eac2a8bf51f94237e265659,25,Male,South Africa,Gauteng,5
23dc4752-24fe-47f5-bfaf-ac8d19f97c21,60ef2bbcd29b2b3f90f2ef66,23,female,South Africa,Cape Town,4
3463853e-20d6-48b9-8225-827c891cd26d,5e67e0b8a7d20408c8e4f0f4,19,Male,Spain,Technology,2
4d8a8741-8cab-4ce2-9a76-71db93991b86,60d3628cbc1c117325d14e01,28,Female,Poland,Psychology and HR,1
52c9d31e-bcce-4e5a-81fc-664ca4fee4e9,5f946bb41e3ae12962b63882,18,Masculino,Portugal,Musica,4
58976396-1a9b-4250-9959-d5e6e1b0f859,5e3f4c676d06fc1b240e6021,62,male,USA,open,1
62b945e2-ca20-450c-bc21-c6a1b17e4d59,6310a3ffc3b0a98b26445843,28,male,netherlands,It is not clear what you mean here,1
773b1250-f797-47da-be9e-00972a5fdbb2,5e6754dfd71cf94cfde2ffcd,21,Male,Poland,Power engineering,4
9bb94064-b3dd-4098-959d-7fc63f4b3853,5f52237276d614488e847c1b,42,male,israel,music and technology,5
b68b1745-f1d3-48b9-96f0-59dd4a20a2db,5fa01b6003aed3026366571c,21,Female,United Kingdom ,Psychology ,3
d14c3590-0427-4aaa-920f-6f2e1d10b8c9,613a469755c08ab3b9d682ad,25,Female,Mexico,Engineering,4
e0b27637-b597-4b63-b874-6652a0d071cb,602fe8fea6fadada3744132e,20,male,Poland,Economics/Bussiness/International Trades,3
ee8a41aa-fe2f-4581-94f6-431610b96d70,605c9355001a5eb6d51e657d,22,No-Binary AFAB,Rome,3D Modelling,3
f0977cbb-5af6-458c-960a-b6337756386b,614fb1dd07393b9789143d2b,22,Female ,South Africa ,None,5
fa89f4d0-4c74-4285-86b4-530ee3cd71fb,5de6dd9be3e0cc6642ea3b33,22,Male,Poland,Logistic,2
ff85e6df-2de3-4595-b001-a80df9c1c14f,5f9ef1ea0c4b404d9226e451,19,male,Poland,business,3
